question|answer|distractors
What is 4238 * 664?|2814032|2222
What is 9026 * 4049?|36546274|7976, 5912, 4188, 9594
What is 8438 + 8972?|17410|2666
What is 6637 * 6747?|44779839|5958, 8134
What is 8885 - 9230?|-345|3391, 3010, 4495, 2483
What is 5340 + 9799?|15139|2708, 5069
What is 6120 + 1066?|7186|1632, 3380, 4875, 4388
What is 4434 * 1093?|4846362|4195, 6852, 8634
What is 1206 + 4596?|5802|671, 8406, 375
What is 688 + 8775?|9463|4593, 9079
What is 8437 + 8009?|16446|6095
What is 3407 + 6246?|9653|7375, 2020, 4087
What is 307 + 4364?|4671|9674, 5643, 1540
What is 4736 - 1690?|3046|1002, 8351, 3962, 8074
What is 5079 - 2607?|2472|4074, 4964
What is 5707 + 961?|6668|4452, 7938, 7332
What is 2361 * 3166?|7474926|1634, 4303
What is 2496 + 5543?|8039|2218
What is 7876 - 2499?|5377|2034
What is 8266 - 984?|7282|4785, 7660
What is 8807 - 6154?|2653|1032, 5500
What is 5235 - 4500?|735|3434, 2940, 3698
What is 1645 * 8025?|13201125|5744, 5651, 2644
What is 8348 * 9876?|82444848|9825, 6306, 4091, 1233
What is 666 + 9816?|10482|25, 6027
What is 8375 - 3086?|5289|4112, 9709, 5903
What is 7740 - 2947?|4793|2819
What is 612 * 7840?|4798080|8930, 591
What is 6704 + 1181?|7885|8844
What is 9848 * 6044?|59521312|4116
What is 5093 - 173?|4920|7440, 5719, 7137, 2991
What is 2977 - 8119?|-5142|7008
What is 1996 - 4954?|-2958|1481, 4026, 4054, 490
What is 1153 + 7006?|8159|9153, 9635
What is 7396 + 6313?|13709|3608, 6057, 8825
What is 9078 + 9806?|18884|738, 317
What is 9340 + 2201?|11541|3777, 1730, 3915, 2847
What is 5222 + 9483?|14705|7377, 9027, 7254, 8423
What is 1128 - 6416?|-5288|5495
What is 5912 + 1460?|7372|7104, 6930
What is 1045 - 4024?|-2979|9992, 7681, 2200, 5239
What is 2394 + 692?|3086|2248, 609, 3461
What is 8725 - 9528?|-803|9353, 1978, 1195, 8954
What is 1579 - 703?|876|6174
What is 899 + 5511?|6410|2264, 6641, 6203, 4370
What is 9011 + 2812?|11823|8097, 9858, 1579
What is 6815 * 5863?|39956345|8225
What is 422 + 3378?|3800|378, 6539, 1450, 7814
What is 5598 * 710?|3974580|8514
What is 6887 * 5883?|40516221|7777, 3639
What is 9699 + 5141?|14840|8753
What is 2518 - 9921?|-7403|1864, 3464, 5107, 3038
What is 6803 + 8770?|15573|7003
What is 8932 * 3152?|28153664|4317, 9119
What is 3943 - 9163?|-5220|1243, 9927
What is 7626 + 345?|7971|9192, 7209, 1764
What is 4594 - 4708?|-114|1840, 2569, 7882, 540
What is 5376 + 7887?|13263|3336, 1060, 6101, 2718
What is 206 * 6933?|1428198|5056, 7219
What is 8145 - 6780?|1365|9051, 34, 8483, 3150
What is 3776 + 4459?|8235|5944, 8551
What is 8877 - 4525?|4352|9657, 2706, 2172
What is 2817 * 4358?|12276486|113, 2131, 4113
What is 4490 + 6688?|11178|4449, 980, 1674
What is 8814 * 7003?|61724442|2416, 9490, 8278
What is 9212 - 2223?|6989|5969
What is 3832 - 5314?|-1482|1929, 2422, 4492, 2517
What is 9947 - 724?|9223|8889, 9981, 1166
What is 6831 - 9557?|-2726|8312, 8913, 3880, 5551
What is 4030 + 5729?|9759|4232, 9489, 8955
What is 9833 * 8968?|88182344|7546, 9947, 7314, 9391
What is 7279 + 3271?|10550|1528, 3744
What is 3374 * 1046?|3529204|8657, 7522, 7481, 6231
What is 7697 + 5284?|12981|4352, 8751, 5431
What is 6096 - 1142?|4954|595
What is 3016 - 5087?|-2071|332, 5892, 6126, 5200
What is 8953 - 6644?|2309|4112, 2752, 5108, 9191
What is 2597 * 7044?|18293268|9628, 8676, 6847
What is 9001 + 2088?|11089|4651
What is 7362 - 7867?|-505|1184, 6162
What is 7818 * 2810?|21968580|4738, 3331, 9283
What is 6698 * 6737?|45124426|3008, 3099, 3197
What is 5372 - 3940?|1432|5134, 9143
What is 6844 - 1072?|5772|4512, 6748
What is 2518 - 9841?|-7323|3877
What is 7067 - 1704?|5363|3176, 7348, 132
What is 2056 - 494?|1562|465
What is 6630 * 8739?|57939570|9682
What is 6246 - 5490?|756|888
What is 3937 - 3461?|476|8813, 3103
What is 5717 - 6358?|-641|8657, 4898, 5013, 65
What is 4454 - 7871?|-3417|9753
What is 9945 + 4848?|14793|136, 7765, 7462
What is 6635 - 7131?|-496|5864
What is 8454 * 8124?|68680296|2153, 6570, 6788
What is 4701 - 336?|4365|8268, 3262, 8757
What is 3214 - 6138?|-2924|2127
What is 2614 * 7174?|18752836|9072, 132, 1029
What is 3592 * 5444?|19554848|9696, 4469
What is 7572 - 7541?|31|8160
What is 5919 * 4985?|29506215|8462
What is 6407 * 7365?|47187555|8299, 6017, 6550, 5647
What is 6526 - 4830?|1696|8906
What is 183 * 8619?|1577277|419, 8380, 4862
What is 9082 * 4234?|38453188|8707, 813
What is 6623 + 7759?|14382|2689, 547, 6702, 3157
What is 8126 + 3129?|11255|7672, 7368
What is 2576 + 3630?|6206|7504, 4401, 2082
What is 5212 * 1590?|8287080|1504, 9771
What is 8958 - 8316?|642|3461
What is 9926 + 2896?|12822|8619, 6244
What is 1371 * 9378?|12857238|5985, 5746, 2783, 2191
What is 3104 - 7389?|-4285|7672, 9944
What is 3968 * 603?|2392704|1787, 6259, 8847
What is 2449 * 3467?|8490683|5376, 7951
What is 1985 + 2487?|4472|3505, 4654
What is 1903 - 9682?|-7779|4512, 5081, 6476
What is 9843 + 3157?|13000|1980, 1594, 5892, 317
What is 3816 - 566?|3250|1480, 2585, 8047
What is 3880 - 3262?|618|8619, 3234
What is 7210 - 5715?|1495|1752, 9404
What is 950 - 5399?|-4449|5612
What is 3250 + 163?|3413|4345, 3503, 5351
What is 7294 * 1491?|10875354|4641, 9650, 1693, 2901
What is 1716 + 4064?|5780|363, 3998
What is 6078 * 4081?|24804318|2627
What is 9545 - 8403?|1142|3944, 524, 8332, 6574
What is 4281 - 4469?|-188|8089, 1867, 4823
What is 676 * 1140?|770640|4976, 6603, 8013, 4799
What is 8460 + 7139?|15599|3859
What is 681 - 7229?|-6548|5545, 1122
What is 394 - 2241?|-1847|9282, 3275
What is 7811 - 6331?|1480|607, 244, 6423
What is 1232 * 1478?|1820896|8353, 3890, 392
What is 153 - 6339?|-6186|6183
What is 6613 + 7989?|14602|1619
What is 359 + 2349?|2708|9204, 931, 1573, 7559
What is 3796 + 3373?|7169|4286
What is 2990 * 5877?|17572230|3409
What is 1763 - 9832?|-8069|9343
What is 5102 + 7868?|12970|5591, 8415
What is 1514 + 5747?|7261|4642, 4709
What is 9298 * 5181?|48172938|1737, 1394
What is 7453 + 3549?|11002|1971, 1095
What is 7136 - 6646?|490|6000, 4667
What is 7008 * 4601?|32243808|3716
What is 4305 - 6151?|-1846|2392, 9793, 4380, 5670
What is 6706 - 4813?|1893|8600, 169, 5603, 8449
What is 5842 + 2312?|8154|7898, 9661, 7942, 4286
What is 614 * 7231?|4439834|2160
What is 7187 + 9235?|16422|489, 8532, 734
What is 9485 - 2579?|6906|489, 4820, 3445
What is 6404 - 1602?|4802|8457, 1639
What is 7869 * 7668?|60339492|1507
What is 1699 * 1388?|2358212|1272, 6743
What is 4660 - 6261?|-1601|5289, 8882, 8055
What is 1452 + 2970?|4422|2004, 7250, 5892, 4413
What is 4028 * 5100?|20542800|3008, 5328, 6245, 9473
What is 5656 + 6954?|12610|2878
What is 2997 * 6383?|19129851|187, 743
What is 5585 + 4187?|9772|8140
What is 1407 - 1979?|-572|1648, 3436, 8451
What is 5597 + 4300?|9897|4672, 3291
What is 7735 * 4723?|36532405|6433, 8508, 5653
What is 7102 - 2210?|4892|1809, 6715
What is 9490 * 9706?|92109940|7975
What is 1511 * 1604?|2423644|6092, 4083, 1382
What is 5702 - 9203?|-3501|4895
What is 753 * 8836?|6653508|496, 8657, 9610, 107
What is 952 - 295?|657|6936, 3828, 8144, 2877
What is 701 + 2608?|3309|7964, 2127
What is 3873 - 4660?|-787|9800, 6525
What is 4406 * 7466?|32895196|1732
What is 7002 - 6565?|437|1344
What is 7584 * 6796?|51540864|1800, 7062
What is 2875 + 1390?|4265|2976, 2980, 5332
What is 5830 + 6489?|12319|7276
What is 3796 - 3187?|609|8909
What is 5895 + 8320?|14215|6952, 5386, 6167
What is 6616 - 6010?|606|6329, 2107
What is 8921 + 940?|9861|8436, 1758, 901
What is 3023 - 601?|2422|477, 7430, 8431
What is 2355 * 6341?|14933055|8056, 3132
What is 5585 - 1976?|3609|7098
What is 6023 + 2795?|8818|4388, 300, 8933, 9583
What is 9184 * 2092?|19212928|7656, 7010, 9995, 8980
What is 663 - 1815?|-1152|6458, 8046, 6167
What is 5865 - 6436?|-571|5844
What is 2069 * 5407?|11187083|1792, 8067, 5943
What is 9854 - 3957?|5897|4710
What is 7651 * 8366?|64008266|4857, 9010, 6282, 8161
What is 1279 + 5757?|7036|4589
What is 2406 * 2993?|7201158|5263
What is 2191 * 9526?|20871466|6448, 587, 7986, 5429
What is 2233 + 5485?|7718|6000
What is 5651 - 5614?|37|4146
What is 2015 * 7327?|14763905|7700
What is 427 - 3157?|-2730|3364
What is 8315 - 5707?|2608|7600, 9371, 2653, 1815
What is 8204 - 7103?|1101|465
What is 1464 * 5304?|7765056|6808, 8947, 110, 5903
What is 4798 * 1351?|6482098|6187, 9203
What is 8164 * 9880?|80660320|1377
What is 2487 + 566?|3053|2596, 5492
What is 7274 - 1407?|5867|7737, 3655, 4702, 5943
What is 3312 - 1568?|1744|6944, 4357, 61, 6751
What is 8364 * 5068?|42388752|5965, 6869
What is 2053 + 952?|3005|6819, 7653
What is 206 * 7101?|1462806|7870, 2141
What is 5516 + 9192?|14708|7298, 4811
What is 2868 - 4139?|-1271|4534
What is 1477 * 1504?|2221408|7673, 184, 7612, 8896
What is 1013 + 9003?|10016|6428, 4117
What is 1423 - 698?|725|7642, 3610, 7826
What is 497 - 1501?|-1004|6325
What is 3665 - 2472?|1193|9376, 2509, 3277
What is 3804 * 5627?|21405108|6674, 3341
What is 1724 - 9943?|-8219|974, 8089, 9820, 2854
What is 2797 - 5856?|-3059|1564, 5612, 9461
What is 9309 - 8351?|958|6750, 973
What is 3488 * 1615?|5633120|617, 1845, 3318
What is 8230 + 9765?|17995|6961, 6811, 3771, 9271
What is 7062 - 1844?|5218|6441, 8893, 2198, 7183
What is 403 - 7823?|-7420|876
What is 5382 + 104?|5486|9709, 235, 6358, 3125
What is 9934 * 301?|2990134|7608, 7132, 1702
What is 307 * 6833?|2097731|3968, 159
What is 9158 + 4404?|13562|1640, 4714
What is 3564 * 2967?|10574388|3968
What is 7411 + 3686?|11097|804
What is 9652 * 9594?|92601288|5633, 4044, 7364
What is 6669 + 7419?|14088|2393, 8501
What is 6991 + 8720?|15711|1513, 3106, 7038
What is 9233 * 8760?|80881080|9136, 7612
What is 3685 - 8987?|-5302|2313, 2982, 7279
What is 9827 - 2003?|7824|8507, 8660
What is 446 * 9399?|4191954|3867, 7314, 4498
What is 9525 * 8582?|81743550|8136, 6972, 54
What is 8553 - 5430?|3123|3172, 3319
What is 2565 * 4416?|11327040|997
What is 1047 - 5390?|-4343|9832
What is 4701 - 8215?|-3514|8768, 2001
What is 2126 + 3749?|5875|7688, 1481, 6997
What is 9098 + 3903?|13001|2378, 67, 3375, 6567
What is 927 * 2218?|2056086|7416, 737, 6007
What is 8189 - 2455?|5734|2600, 2392, 6709
What is 2187 + 2717?|4904|2744, 8155
What is 8018 + 2560?|10578|2668
What is 6981 + 1100?|8081|363, 9918, 2551, 3889
What is 2517 + 2113?|4630|1792, 1914, 3859
What is 5470 * 6924?|37874280|9288
What is 7003 - 4440?|2563|4713, 4982
What is 3597 + 167?|3764|2846
What is 3275 - 475?|2800|6264, 2707, 8414, 3601
What is 4720 - 12?|4708|5073, 3770, 3847
What is 3559 + 4122?|7681|3758, 6761
What is 3830 - 5886?|-2056|4292, 4156, 4692
What is 4122 - 8447?|-4325|1666, 2780
What is 2241 * 2287?|5125167|6761, 9091, 7383
What is 1748 - 7135?|-5387|8022, 6103
What is 5843 + 2175?|8018|5673, 9234, 2310, 1365
What is 4529 * 1989?|9008181|7194, 7180, 9646
What is 2933 * 1890?|5543370|3453
What is 5252 + 8130?|13382|7770, 5267
What is 6385 - 1725?|4660|74
What is 9588 * 8200?|78621600|7720, 6003, 5444
What is 4472 + 1590?|6062|7106
What is 7521 * 7065?|53135865|1704, 3951
What is 7553 * 6507?|49147371|8576, 8345, 3667
What is 2345 + 2393?|4738|8288, 1713, 7318, 4303
What is 1214 * 7077?|8591478|3691, 5006, 8301, 53
What is 5731 * 3677?|21072887|7687
What is 8736 + 3420?|12156|596
What is 978 * 8990?|8792220|6368, 4180, 5609
What is 9416 * 6459?|60817944|2425, 9986, 1895
What is 9148 * 7352?|67256096|5432, 7404
What is 5368 * 8825?|47372600|4482, 2157
What is 2374 - 6668?|-4294|8391
What is 3006 - 554?|2452|8035
What is 8804 * 9477?|83435508|9010
What is 5798 - 2069?|3729|3538, 18
What is 2734 - 4284?|-1550|924, 5389, 3662, 9087
What is 3814 + 742?|4556|9376, 3089, 6547
What is 9070 * 3441?|31209870|1617
What is 5848 - 9876?|-4028|4044
What is 8640 * 7659?|66173760|4095
What is 7513 + 4457?|11970|850, 7965, 3222
What is 2842 + 2961?|5803|9035, 3475, 3093, 9125
What is 6802 + 4530?|11332|868
What is 3589 - 4158?|-569|9503
What is 5570 * 5087?|28334590|2632
What is 8517 - 4057?|4460|8431
What is 7758 * 8849?|68650542|5858, 9012
What is 7657 + 7842?|15499|136, 2115
What is 9774 - 5700?|4074|5531
What is 2695 * 9788?|26378660|1602, 9151, 8151
What is 1687 + 7500?|9187|2520, 8171
What is 7485 + 5585?|13070|9622
What is 8967 + 3051?|12018|5025, 5541, 7582
What is 3287 - 329?|2958|2350, 6287, 7774, 565
What is 6479 * 5279?|34202641|3003, 749, 5737
What is 4783 * 7111?|34011913|5523, 3598, 8931
What is 6915 + 1148?|8063|9537, 9713, 1166
What is 9127 + 3393?|12520|7056, 4515, 3766, 6183
What is 3815 * 5202?|19845630|7946, 6218
What is 6655 + 7241?|13896|7047, 6636, 4207
What is 8982 * 6155?|55284210|8386
What is 8988 * 2785?|25031580|9939, 686
What is 2434 - 9203?|-6769|1188
What is 6325 + 6202?|12527|9982
What is 3128 * 244?|763232|6951
What is 7526 + 4190?|11716|8019
What is 5836 + 6485?|12321|1224, 7920, 6317
What is 5286 - 2750?|2536|844, 9818, 9652, 7846
What is 3698 + 4324?|8022|5161, 5429, 7221
What is 5753 + 1616?|7369|7404, 3813, 9182, 5287
What is 7408 + 3794?|11202|2595, 324
What is 7079 + 1404?|8483|1145, 2044, 7743
What is 3685 * 87?|320595|7536, 4515
What is 7448 + 6326?|13774|2156, 1452
What is 4848 + 6052?|10900|3808, 9642, 4507
What is 1890 - 9952?|-8062|9859
What is 4384 * 9650?|42305600|1562, 5988, 7378
What is 4835 * 6495?|31403325|1170, 3644
What is 5719 + 9343?|15062|368, 7154, 3723
What is 1875 - 4426?|-2551|4476, 3165, 3708
What is 6938 + 9164?|16102|2420
What is 1389 * 6540?|9084060|7545, 1314, 9683, 3497
What is 3166 - 1832?|1334|8215, 2396, 7115, 3279
What is 1661 * 8264?|13726504|3808, 5843
What is 1820 * 7839?|14266980|9345, 8345
What is 4625 - 5746?|-1121|9065, 1450, 8018
What is 5609 * 4240?|23782160|8138, 7938
What is 7647 * 2494?|19071618|583
What is 6815 - 4356?|2459|5923, 9588, 9501, 5049
What is 8975 - 3727?|5248|6849, 4674, 6340, 3708
What is 223 * 9946?|2217958|7014, 2822, 6493
What is 6842 + 7810?|14652|2544, 4890, 8682
What is 7755 - 8645?|-890|8465
What is 6530 + 1128?|7658|405, 3805
What is 6392 * 6664?|42596288|5753, 3763, 419
What is 3986 * 2852?|11368072|7777, 4309, 3870
What is 3107 * 5238?|16274466|5056, 7006
What is 9910 + 5795?|15705|874, 3103, 7994, 4975
What is 148 - 7097?|-6949|5609, 5854, 6271
What is 4298 + 5942?|10240|4183
What is 4690 * 2714?|12728660|7079
What is 4386 + 9058?|13444|8211, 4871, 8917, 3861
What is 8133 - 1683?|6450|1412, 9706
What is 1428 - 2842?|-1414|9932, 3516, 6989, 9311
What is 8529 - 4049?|4480|3664, 1999
What is 9878 * 3964?|39156392|8211, 4597
What is 3539 - 9180?|-5641|3105, 1473, 9678
What is 7811 * 325?|2538575|8171, 3555
What is 3915 - 8117?|-4202|3206, 8086
What is 4943 + 3391?|8334|1752, 2651, 7915, 5670
What is 8820 + 1780?|10600|7202, 2429
What is 8301 * 8263?|68591163|1637
What is 2234 * 6900?|15414600|8704, 2747, 9383
What is 4820 * 8712?|41991840|1882, 7012, 6962, 8743
What is 8687 * 8862?|76984194|9373, 1631
What is 1055 * 3859?|4071245|8416, 9873, 6086, 1209
What is 9622 + 3284?|12906|9160, 5604, 5666
What is 5365 + 2196?|7561|7522, 5907, 8507, 5457
What is 3976 * 6212?|24698912|4912, 7853
What is 2692 - 846?|1846|6920, 7114, 7314
What is 7449 + 5930?|13379|1506, 4531
What is 6515 - 1450?|5065|2735, 9617
What is 865 * 7851?|6791115|6154, 6692, 7310
What is 1682 - 5897?|-4215|1136
What is 6141 * 4439?|27259899|3944, 7033, 392, 3860
What is 3938 - 1639?|2299|3225, 7274, 8127, 9337
What is 85 * 7878?|669630|8751, 4767, 7871
What is 1866 * 1723?|3215118|6321, 2068
What is 93 - 1876?|-1783|440, 2489
What is 764 + 3026?|3790|5723
What is 5449 - 7868?|-2419|2632, 9578, 2103, 2053
What is 1966 * 8780?|17261480|7971, 7765
What is 9279 * 2141?|19866339|5408, 8057, 4195
What is 8178 + 6221?|14399|3737, 4556, 5166
What is 7023 + 9447?|16470|5310, 7437
What is 7879 * 5164?|40687156|2821
What is 1488 - 5381?|-3893|3128, 18, 7563
What is 6154 * 7628?|46942712|8856
What is 3837 + 1407?|5244|185
What is 9033 * 8829?|79752357|2288, 3658, 2578
What is 5255 - 240?|5015|2090, 9100, 5293, 2566
What is 3357 + 131?|3488|3216, 1235
What is 8577 * 1136?|9743472|4669, 9542, 6574
What is 5931 + 9063?|14994|5002
What is 1485 * 4251?|6312735|8916, 790
What is 4681 - 8074?|-3393|7546, 5374
What is 4018 + 8790?|12808|2424, 8091, 6397, 8398
What is 3694 - 1474?|2220|9704, 1915, 9883, 6878
What is 871 * 8063?|7022873|9136, 1554, 3197
What is 2456 + 4363?|6819|6264, 3577, 100, 7051
What is 6624 * 2357?|15612768|6467, 5123, 1173, 4982
What is 3543 * 3731?|13218933|5064, 896, 9155, 9269
What is 1449 + 5298?|6747|7936, 4578, 1594, 3950
What is 4792 + 5400?|10192|868, 7141, 5311
What is 3591 * 6966?|25014906|5840
What is 9888 - 9925?|-37|8168, 2425, 3779, 5655
What is 2973 - 4636?|-1663|4760, 7036, 6569
What is 8121 * 5911?|48003231|3153
What is 5807 * 5784?|33587688|8497, 8765, 8207
What is 2805 - 6898?|-4093|2639
What is 812 * 7823?|6352276|908, 1874
What is 759 + 4681?|5440|6921, 8678, 6569
What is 4881 - 8220?|-3339|6511
What is 7047 + 8079?|15126|5008, 5185, 5375
What is 5170 * 1736?|8975120|2264, 9611
What is 249 * 5893?|1467357|6351
What is 5268 + 8715?|13983|489, 4402, 6605, 3598
What is 3617 - 403?|3214|9104
What is 3177 * 2181?|6929037|2916, 6205
What is 9536 - 2238?|7298|1092
What is 9779 * 1649?|16125571|6847, 2595, 8371, 7007
What is 9237 - 2630?|6607|7153, 7946, 54
What is 7458 - 4742?|2716|768, 4249, 6963, 3451
What is 1795 * 4234?|7600030|5640, 2718, 7047
What is 8956 - 8743?|213|5336, 5491, 4350
What is 5091 + 6339?|11430|527, 9883, 9724, 7015
What is 765 - 8543?|-7778|9179, 2791
What is 9561 * 627?|5994747|1635, 4467, 6123
What is 7871 + 7716?|15587|7004
What is 3141 + 442?|3583|4144
What is 6681 * 4654?|31093374|1898, 4084
What is 5590 * 5660?|31639400|6393, 8883, 5905
What is 5162 + 6891?|12053|992, 7855
What is 8762 + 3014?|11776|7809, 3690, 3355
What is 3403 * 5819?|19802057|9515, 7892, 310, 9859
What is 3948 * 7288?|28773024|5224, 9223
What is 9476 + 7178?|16654|8276, 3410, 8676, 7782
What is 7499 - 9235?|-1736|2988, 7747, 540, 9429
What is 3252 - 9363?|-6111|3859, 6346, 7291, 8953
What is 4691 - 9156?|-4465|3750, 3678, 3606, 1478
What is 3004 + 1636?|4640|3176, 7016, 6708, 4997
What is 4544 - 6237?|-1693|6467, 3723, 1223
What is 6228 + 1959?|8187|8784
What is 3377 - 890?|2487|4965
What is 6409 + 905?|7314|5728, 7659, 4510, 367
What is 9187 + 3493?|12680|4891, 5491, 9853, 4422
What is 2272 + 4675?|6947|408, 6490, 5685
What is 9197 * 839?|7716283|9182, 8110, 9119
What is 740 * 2997?|2217780|7514, 2962
What is 8913 * 925?|8244525|1747, 6462
What is 198 * 3550?|702900|4864, 1840, 7741, 8935
What is 3761 + 2003?|5764|7464, 8483, 2291
What is 5529 - 2055?|3474|6560, 9393, 6683, 4568
What is 6046 * 388?|2345848|8458, 5170
What is 4432 - 9501?|-5069|6591
What is 9510 + 5922?|15432|3561, 7522, 7916
What is 1595 - 3162?|-1567|8359, 8945
What is 628 + 2649?|3277|5634, 1234, 7907
What is 8514 * 2917?|24835338|6098, 3495
What is 8951 - 4144?|4807|82, 1622
What is 8441 - 1351?|7090|9272, 5801, 2138, 7391
What is 6266 * 9123?|57164718|969, 9483
What is 7319 + 1239?|8558|1960, 3076
What is 8497 + 1644?|10141|832, 6468, 3117
What is 5771 + 7986?|13757|1360, 800, 8806, 6055
What is 286 - 7128?|-6842|8114, 7499, 6101, 1253
What is 5008 * 6414?|32121312|2704, 7170
What is 9209 - 5574?|3635|4849, 4306, 8796, 3822
What is 2037 + 1605?|3642|4561, 7978
What is 7255 + 5219?|12474|8177, 3683, 5884, 3150
What is 3694 - 6259?|-2565|5915, 3879, 1602, 8391
What is 2481 + 8728?|11209|3010, 1924, 2834, 9822
What is 132 - 1206?|-1074|3681
What is 5668 - 4222?|1446|3720, 8635, 1532
What is 9350 * 9898?|92546300|1943
What is 740 * 6815?|5043100|3521, 2971, 4429, 9445
What is 7617 * 9995?|76131915|3290, 8378, 9215
What is 3292 * 1678?|5523976|6680, 8147, 1733, 7647
What is 1274 - 8104?|-6830|300, 2410, 4394
What is 6349 * 34?|215866|571, 4220
What is 5631 - 4597?|1034|2150
What is 791 - 1361?|-570|906, 1275
What is 1721 + 4347?|6068|8928, 5170, 6187, 1162
What is 4688 * 4047?|18972336|4507, 8342
What is 899 + 8250?|9149|450, 6156, 1279
What is 2740 - 4365?|-1625|8765
What is 8905 * 2042?|18184010|5897
What is 2935 - 9621?|-6686|7293, 6974
What is 487 - 4232?|-3745|7858, 7437, 1365
What is 659 * 2635?|1736465|6017
What is 8839 - 5956?|2883|4899, 2595, 98, 8983
What is 3147 * 7565?|23807055|4124
What is 3697 * 8474?|31328378|8728, 1106
What is 9321 + 4637?|13958|8722, 8300, 134, 4005
What is 2029 - 9100?|-7071|5321, 7981, 6009, 7255
What is 7843 + 7421?|15264|1348
What is 9213 + 8804?|18017|6122, 4605, 8198
What is 4760 + 6002?|10762|9602
What is 3421 * 3594?|12295074|3003
What is 3857 * 1722?|6641754|9408, 8953
What is 8631 + 3192?|11823|5387, 9873, 8955, 6806
What is 6845 * 7408?|50707760|2798, 3747, 829, 7638
What is 6446 + 6228?|12674|8508, 566, 1751
What is 3523 - 7474?|-3951|9976, 5646
What is 3199 - 9327?|-6128|7201, 8122, 4849, 47
What is 8231 + 9645?|17876|8193
What is 9620 * 7693?|74006660|5952, 6283
What is 4383 * 4944?|21669552|1177, 5667, 5253
What is 1161 - 5232?|-4071|3055, 5633, 8047
What is 3914 * 7940?|31077160|6633, 1416, 9265, 4385
What is 9033 * 2688?|24280704|8248, 3603, 8157, 1366
What is 3511 * 6569?|23063759|3771, 1963, 9925
What is 3114 * 3032?|9441648|1832, 7538
What is 4952 + 167?|5119|6177, 9335
What is 4622 - 404?|4218|8120, 6764, 7538
What is 7134 + 8567?|15701|5635, 5446
What is 8594 + 9752?|18346|273, 6650, 9678
